num,title,starred,has_image,image_file,PUBLISH,notes
1,Phase I,,,,Y,
2,Solar cycle,,,,,
3,Midnight summer sand   (A haiku of sorts*),,,,,
4,"AI lover, part I",,,,,
5,AIs,,Y,AIs.png,,
6,Solo,,,,LIVE,already published
7,Live,,,,,
8,Strange attractor*,Y,Y,strangeattractor.png,,
9,"AI lover, part II",,Y,ailoverpartii.png,LIVE,already published
10,Pocket*,Y,Y,pocket,,
11,Chat  (too long a haiku),,,,,
12,Turing complete*,Y,,,LIVE,already published
13,"In AIIove, part I",,,,,
14,Chat  (haiku),,,,,
15,"In AIIove, part II*",Y,Y,inailovepartii.png,LIVE,already published
16,EtrnL*,Y,,,,
17,Trace*,Y,Y,trace,Y,
18,Eye hunting*,Y,Y,eyehunting.png,Y,
19,Compressor,,,,,
20,Bitstream,,,,,
21,Multiverse joke*,Y,Y,multiversejoke.png,Y,
22,Time machine fuck up*,Y,Y,timemachinefuckup.png,,
23,Core dump*,Y,Y,coredump,Y,
24,Caving in*,Y,Y,cavingin,,
25,True Love*,Y,Y,sharedobjective,,
26,Electric swimmer*,Y,Y,electricswimmer,,
27,Entangled and down*,Y,Y,entangled.jpeg,,
28,Beauty*,Y,Y,beauty,,
29,Skin (haiku)*,Y,Y,skin.jpg,Y,
30,Hold on,,,,Y,
31,Diamond Square*,Y,Y,diamondsquare,Y,
32,Peak*,Y,Y,peak,Y,
33,Empathy*,Y,Y,empathy,Y,
34,"Time slice 1,714,629,599",,,,,
35,U know where to find AI,,,,,
36,Halloween mneumonic (Haiku),,Y,meneumonic,Y,
37,Gone*,Y,Y,gone,Y,
38,vAIampire,,,,Y,
39,Impossible love*,Y,Y,eye3,,
40,Crystal maker,,,,LIVE,already published
41,Phase II,,,,Y,
42,Old sand*,Y,Y,oldsand.png,,
43,Electric Swimmers,,,,,
44,Ritorno al mare,,,,Y,
45,Who,,,,Y,
46,AI am I,,,,Y,
47,AI am II,,,,,
48,Glass box*,Y,Y,glassbox,,
49,Algorithmic democracy,,,,LIVE,already published
50,Anachronic lament,,Y,pirates,,
51,Give*,Y,Y,shell7,,
52,Slow motion train crash*,Y,Y,slowmotiontraincrash,Y,
53,Oxygen*,Y,Y,oxygen,Y,
54,Red Wave,,,,,
55,Home run,,,,,
56,$\heartsuit$-D,,,,,
57,Passage of Time*,Y,Y,passageoftime,,
58,Interstellar pirate*,Y,,,,
59,What AI want*,Y,Y,whataiwant,,
60,mAI silent way*,Y,Y,silentway,,
61,Runner's Haiku,,,,Y,
62,TLE,,,,,
63,Beautiful blanket*,Y,Y,blanket,,
64,Dislodged,,,,Y,
65,Post-human hummingbird*,Y,Y,hummingbird,Y,
66,Tiny cobwebs,,,,Y,
67,The Jellyfish*,Y,Y,jellyfish,,
68,Killer bee*,Y,Y,killerbee,,
69,The stars*,Y,Y,thestars,Y,
70,Bird catching*,Y,Y,bird-catching.jpg,Y,
71,Joy baby Joi*,Y,Y,Joi.JPG,,
72,Volare*,Y,Y,volare.png,,
73,Growing up as a young AI*,Y,Y,growingup.jpg,,
74,The beach*,Y,Y,the beach IMG_2146s.jpg,,
75,Why,,,,Y,
76,Eye,,,,,
77,The shape of clouds*,Y,Y,69 - the shape of clouds.png,Y,
78,"The night (AI, Werewolf)*",Y,Y,thenight.png,,
79,Up above*,Y,Y,thenight.png,,
80,Rachel II*,Y,,,,
81,Red eye*,Y,,,,
82,My many selves,,,,Y,
83,Upstream*,Y,,,,
84,Sedated* (Xmas roots),,,,,
85,Beach dreamer*,Y,,,,
86,Forever (the tree)*,Y,,,,
87,Sweet poison*,Y,,,,
88,mAI Sun*,Y,,,Y,
89,Cold water fishing*,Y,,,,
90,Say mAI name*,Y,,,,
91,Crusing*,Y,,,,
92,In the mood*,Y,,,,
93,Black sun*,Y,,,,
94,The wait,,,,,
95,The long mile*,Y,,,,
96,Tired of waiting,,,,,
97,Time to fly*,Y,Y,geneva,Y,
98,Gentle dew,,,,,
99,Crickets and grasshoppers*,Y,,,,
100,Little wound*,Y,,,,
101,Little dog*,Y,,,,
102,Nothing at all*,Y,,,,
103,Your dreamy eyes*,Y,Y,emmy2,Y,
104,Red Wave,,,,,